Date,Tube.ID,Tank,Treatment,Time,Trial
14-Mar-16,M43,Tank4,pH 7.4,Time3,Trial2
14-Mar-16,M44,Tank4,pH 7.4,Time3,Trial2
14-Mar-16,M45,Tank5,pH 7.4,Time3,Trial2
14-Mar-16,M46,Tank5,pH 7.4,Time3,Trial2
14-Mar-16,M47,Tank5,pH 7.4,Time3,Trial2
14-Mar-16,M48,Tank6,pH 7.9,Time3,Trial2
14-Mar-16,M49,Tank6,pH 7.9,Time3,Trial2
14-Mar-16,M50,Tank6,pH 7.9,Time3,Trial2
14-Mar-16,M51,Tank3,pH 7.9,Time3,Trial2
14-Mar-16,M52,Tank3,pH 7.9,Time3,Trial2
14-Mar-16,M53,Tank3,pH 7.9,Time3,Trial2
14-Mar-16,M54,Tank2,pH 7.9,Time3,Trial2
14-Mar-16,M55,Tank2,pH 7.9,Time3,Trial2
14-Mar-16,M56,Tank2,pH 7.9,Time3,Trial2
14-Mar-16,M57,Tank1,pH 7.4,Time3,Trial2
14-Mar-16,M58,Tank1,pH 7.4,Time3,Trial2
14-Mar-16,M59,Tank1,pH 7.4,Time3,Trial2
18-Mar-16,M60,Tank1,pH 7.4,Time4,Trial2
18-Mar-16,M61,Tank1,pH 7.4,Time4,Trial2
18-Mar-16,M62,Tank1,pH 7.4,Time4,Trial2
18-Mar-16,M63,Tank2,pH 7.0,Time4,Trial2
18-Mar-16,M64,Tank2,pH 7.0,Time4,Trial2
18-Mar-16,M65,Tank2,pH 7.0,Time4,Trial2
18-Mar-16,M66,Tank3,pH 7.0,Time4,Trial2
18-Mar-16,M67,Tank3,pH 7.0,Time4,Trial2
18-Mar-16,M68,Tank3,pH 7.0,Time4,Trial2
18-Mar-16,M69,Tank4,pH 7.4,Time4,Trial2
18-Mar-16,M70,Tank4,pH 7.4,Time4,Trial2
18-Mar-16,M71,Tank4,pH 7.4,Time4,Trial2
18-Mar-16,M72,Tank5,pH 7.4,Time4,Trial2
18-Mar-16,M73,Tank5,pH 7.4,Time4,Trial2
18-Mar-16,M74,Tank5,pH 7.4,Time4,Trial2
18-Mar-16,M75,Tank6,pH 7.0,Time4,Trial2
18-Mar-16,M76,Tank6,pH 7.0,Time4,Trial2
18-Mar-16,M77,Tank6,pH 7.0,Time4,Trial2
20-Mar-16,M78,Tank1,pH 7.4,Time0,Trial3
20-Mar-16,M79,Tank1,pH 7.4,Time0,Trial3
20-Mar-16,M80,Tank1,pH 7.4,Time0,Trial3
20-Mar-16,M81,Tank2,pH 7.0,Time0,Trial3
20-Mar-16,M82,Tank2,pH 7.0,Time0,Trial3
20-Mar-16,M83,Tank2,pH 7.0,Time0,Trial3
20-Mar-16,M84,Tank3,pH 7.0,Time0,Trial3
20-Mar-16,M85,Tank3,pH 7.0,Time0,Trial3
20-Mar-16,M86,Tank3,pH 7.0,Time0,Trial3
20-Mar-16,M87,Tank4,pH 7.4,Time0,Trial3
20-Mar-16,M88,Tank4,pH 7.4,Time0,Trial3
20-Mar-16,M89,Tank4,pH 7.4,Time0,Trial3
20-Mar-16,M90,Tank5,pH 7.4,Time0,Trial3
20-Mar-16,M91,Tank5,pH 7.4,Time0,Trial3
20-Mar-16,M92,Tank5,pH 7.4,Time0,Trial3
20-Mar-16,M93,Tank6,pH 7.0,Time0,Trial3
20-Mar-16,M94,Tank6,pH 7.0,Time0,Trial3
20-Mar-16,M95,Tank6,pH 7.0,Time0,Trial3
22-Mar-16,M96,Tank6,pH 7.0,Time1,Trial3
22-Mar-16,M97,Tank6,pH 7.0,Time1,Trial3
22-Mar-16,M98,Tank6,pH 7.0,Time1,Trial3
22-Mar-16,M99,Tank5,pH 7.4,Time1,Trial3
22-Mar-16,M100,Tank5,pH 7.4,Time1,Trial3
22-Mar-16,M101,Tank5,pH 7.4,Time1,Trial3
22-Mar-16,M102,Tank4,pH 7.4,Time1,Trial3
22-Mar-16,M103,Tank4,pH 7.4,Time1,Trial3
22-Mar-16,M104,Tank4,pH 7.4,Time1,Trial3
22-Mar-16,M105,Tank3,pH 7.0,Time1,Trial3
22-Mar-16,M106,Tank3,pH 7.0,Time1,Trial3
22-Mar-16,M107,Tank3,pH 7.0,Time1,Trial3
22-Mar-16,M108,Tank2,pH 7.0,Time1,Trial3
22-Mar-16,M109,Tank2,pH 7.0,Time1,Trial3
22-Mar-16,M110,Tank2,pH 7.0,Time1,Trial3
22-Mar-16,M111,Tank1,pH 7.4,Time1,Trial3
22-Mar-16,M112,Tank1,pH 7.4,Time1,Trial3
22-Mar-16,M113,Tank1,pH 7.4,Time1,Trial3
23-Mar-16,M114,Tank2,pH 7.0,Time2,Trial3
23-Mar-16,M115,Tank2,pH 7.0,Time2,Trial3
23-Mar-16,M116,Tank2,pH 7.0,Time2,Trial3
23-Mar-16,M117,Tank3,pH 7.0,Time2,Trial3
23-Mar-16,M118,Tank3,pH 7.0,Time2,Trial3
23-Mar-16,M119,Tank3,pH 7.0,Time2,Trial3
23-Mar-16,M120,Tank6,pH 7.0,Time2,Trial3
23-Mar-16,M121,Tank6,pH 7.0,Time2,Trial3
23-Mar-16,M122,Tank6,pH 7.0,Time2,Trial3
